# LECROYWM813Zi	51496	Waveform
# Segments	1	SegmentSize	4002
# Segment	TrigTime	TimeSinceSegment1
# #1	30-Nov-2018 17:21:21	0                 
# Time	Ampl
-5.000979e-008	0.0191162
-4.998479e-008	0.0324707
-4.995979e-008	0.023169
-4.993479e-008	0.0074463
-4.990979e-008	0.0163086
-4.988479e-008	0.0161133
-4.985979e-008	0.0179932
-4.983479e-008	0.0315186
-4.980979e-008	0.03396
-4.978479e-008	0.0244385
-4.975979e-008	0.0167236
-4.973479e-008	0.0168457
-4.970979e-008	0.0213379
-4.968479e-008	0.0239258
-4.965979e-008	0.0145752
-4.963479e-008	0.0124512
-4.960979e-008	0.0223877
-4.958479e-008	0.019751
-4.955979e-008	0.0150635
-4.953479e-008	0.0112793
-4.950979e-008	0.00505372
-4.948479e-008	0.00895997
-4.945979e-008	0.0146729
-4.943479e-008	0.0199707
-4.940979e-008	0.0165772
-4.938479e-008	0.00747071
-4.935979e-008	0.024707
-4.933479e-008	0.0364502
-4.930979e-008	0.0182129
-4.928479e-008	0.00895997
-4.925979e-008	0.0153565
-4.923479e-008	0.0260254
-4.920979e-008	0.0279541
-4.918479e-008	0.0188232
-4.915979e-008	0.013916
-4.913479e-008	0.0159668
-4.910979e-008	0.0145996
-4.908479e-008	0.0115723
-4.905979e-008	0.0206787
-4.903479e-008	0.0251221
-4.900979e-008	0.023877
-4.898479e-008	0.0251221
-4.895979e-008	0.0290527
-4.893479e-008	0.0391846
-4.890979e-008	0.0293213
-4.888479e-008	0.0187744
-4.885979e-008	0.0167969
-4.883479e-008	0.00146485
-4.880979e-008	0.00446778
-4.878479e-008	0.0179443
-4.875979e-008	0.0147949
-4.873479e-008	0.0130371
-4.870979e-008	0.0104736
-4.868479e-008	0.00644532
-4.865979e-008	0.0172119
-4.863479e-008	0.0243408
-4.860979e-008	0.0198975
-4.858479e-008	0.0162109
-4.855979e-008	0.0167236
-4.853479e-008	0.0241699
-4.850979e-008	0.0229981
-4.848479e-008	0.0195557
-4.845979e-008	0.0217285
-4.843479e-008	0.0151611
-4.840979e-008	0.00485841
-4.838479e-008	0.00812989
-4.835979e-008	0.0293945
-4.833479e-008	0.0404297
-4.830979e-008	0.0325195
-4.828479e-008	0.0214111
-4.825979e-008	0.0190186
-4.823479e-008	0.0281983
-4.820979e-008	0.0261231
-4.818479e-008	0.0182373
-4.815979e-008	0.016626
-4.813479e-008	0.0140381
-4.810979e-008	0.0208984
-4.808479e-008	0.0313233
-4.805979e-008	0.0263184
-4.803479e-008	0.0141602
-4.800979e-008	0.00983887
-4.798479e-008	0.0157471
-4.795979e-008	0.031665
-4.793479e-008	0.0292481
-4.790979e-008	0.012793
-4.788479e-008	0.0150635
-4.785979e-008	0.0100342
-4.783479e-008	0.0124512
-4.780979e-008	0.0271484
-4.778479e-008	0.0181397
-4.775979e-008	0.0233887
-4.773479e-008	0.0322022
-4.770979e-008	0.018042
-4.768479e-008	0.01604
-4.765979e-008	0.0197754
-4.763479e-008	0.019751
-4.760979e-008	0.0129395
-4.758479e-008	-0.000952141
-4.755979e-008	0.00419923
-4.753479e-008	0.0182373
-4.750979e-008	0.0222168
-4.748479e-008	0.0182373
-4.745979e-008	0.0130127
-4.743479e-008	0.0211914
-4.740979e-008	0.0259766
-4.738479e-008	0.0231201
-4.735979e-008	0.0328613
-4.733479e-008	0.0311035
-4.730979e-008	0.0226318
-4.728479e-008	0.0260986
-4.725979e-008	0.0199463
-4.723479e-008	0.0157715
-4.720979e-008	0.0182129
-4.718479e-008	0.0131348
-4.715979e-008	0.0156006
-4.713479e-008	0.0197022
-4.710979e-008	0.01604
-4.708479e-008	0.0114746
-4.705979e-008	0.0084961
-4.703479e-008	0.0134033
-4.700979e-008	0.0171875
-4.698479e-008	0.0108399
-4.695979e-008	0.00910645
-4.693479e-008	0.0173096
-4.690979e-008	0.020166
-4.688479e-008	0.0187012
-4.685979e-008	0.022168
-4.683479e-008	0.0188965
-4.680979e-008	0.0074463
-4.678479e-008	-0.000537102
-4.675979e-008	0.0101807
-4.673479e-008	0.029834
-4.670979e-008	0.0209229
-4.668479e-008	0.0115234
-4.665979e-008	0.0275879
-4.663479e-008	0.0323242
-4.660979e-008	0.0220215
-4.658479e-008	0.0150147
-4.655979e-008	0.0212402
-4.653479e-008	0.0264893
-4.650979e-008	0.00930177
-4.648479e-008	0.00629884
-4.645979e-008	0.0290283
-4.643479e-008	0.033374
-4.640979e-008	0.0216065
-4.638479e-008	0.00720216
-4.635979e-008	0.00463868
-4.633479e-008	0.022583
-4.630979e-008	0.0135498
-4.628479e-008	0.00441895
-4.625979e-008	0.0270996
-4.623479e-008	0.0265137
-4.620979e-008	0.018042
-4.618479e-008	0.0215088
-4.615979e-008	0.0224854
-4.613479e-008	0.0241455
-4.610979e-008	0.0182373
-4.608479e-008	0.0239502
-4.605979e-008	0.0340576
-4.603479e-008	0.024292
-4.600979e-008	0.0176758
-4.598479e-008	0.0183838
-4.595979e-008	0.0167725
-4.593479e-008	0.017627
-4.590979e-008	0.0187256
-4.588479e-008	0.0222656
-4.585979e-008	0.0299805
-4.583479e-008	0.026416
-4.580979e-008	0.0204102
-4.578479e-008	0.0219727
-4.575979e-008	0.0258789
-4.573479e-008	0.0326172
-4.570979e-008	0.0214111
-4.568479e-008	0.011377
-4.565979e-008	0.0150879
-4.563479e-008	0.00622559
-4.560979e-008	0.00893555
-4.558479e-008	0.0261719
-4.555979e-008	0.0327637
-4.553479e-008	0.0265625
-4.550979e-008	0.0185303
-4.548479e-008	0.0188232
-4.545979e-008	0.0213135
-4.543479e-008	0.0243164
-4.540979e-008	0.0236084
-4.538479e-008	0.0207031
-4.535979e-008	0.0217529
-4.533479e-008	0.0221191
-4.530979e-008	0.0195313
-4.528479e-008	0.0173096
-4.525979e-008	0.0175049
-4.523479e-008	0.0176514
-4.520979e-008	0.0225098
-4.518479e-008	0.0158691
-4.515979e-008	0.00812989
-4.513479e-008	0.028833
-4.510979e-008	0.0343018
-4.508479e-008	0.019043
-4.505979e-008	0.0219482
-4.503479e-008	0.023877
-4.500979e-008	0.0189453
-4.498479e-008	0.0260986
-4.495979e-008	0.0379883
-4.493479e-008	0.0282715
-4.490979e-008	0.00847169
-4.488479e-008	0.0065918
-4.485979e-008	0.0105957
-4.483479e-008	0.0193848
-4.480979e-008	0.0252441
-4.478479e-008	0.0195557
-4.475979e-008	0.0294922
-4.473479e-008	0.0356445
-4.470979e-008	0.0171143
-4.468479e-008	0.0154297
-4.465979e-008	0.0285156
-4.463479e-008	0.0236572
-4.460979e-008	0.0200684
-4.458479e-008	0.0221436
-4.455979e-008	0.0245606
-4.453479e-008	0.0274902
-4.450979e-008	0.0144531
-4.448479e-008	0.0171875
-4.445979e-008	0.0231934
-4.443479e-008	0.00603028
-4.440979e-008	0.0148682
-4.438479e-008	0.0229492
-4.435979e-008	0.00646973
-4.433479e-008	0.0116211
-4.430979e-008	0.0208984
-4.428479e-008	0.01604
-4.425979e-008	0.024585
-4.423479e-008	0.0272705
-4.420979e-008	0.024585
-4.418479e-008	0.0382568
-4.415979e-008	0.0224609
-4.413479e-008	0.00361329
-4.410979e-008	0.00854493
-4.408479e-008	0.00634766
-4.405979e-008	0.0227539
-4.403479e-008	0.0328125
-4.400979e-008	0.0245606
-4.398479e-008	0.0240967
-4.395979e-008	0.0261475
-4.393479e-008	0.0274658
-4.390979e-008	0.014624
-4.388479e-008	0.0160156
-4.385979e-008	0.0310791
-4.383479e-008	0.0302246
-4.380979e-008	0.0321533
-4.378479e-008	0.0286865
-4.375979e-008	0.0171143
-4.373479e-008	0.0155762
-4.370979e-008	0.0162598
-4.368479e-008	0.0179932
-4.365979e-008	0.0250977
-4.363479e-008	0.0264404
-4.360979e-008	0.0243164
-4.358479e-008	0.0301514
-4.355979e-008	0.0331543
-4.353479e-008	0.0254395
-4.350979e-008	0.0177979
-4.348479e-008	0.0157959
-4.345979e-008	0.0235352
-4.343479e-008	0.0301025
-4.340979e-008	0.010669
-4.338479e-008	0.00451661
-4.335979e-008	0.0287842
