# LECROYWM813Zi	51496	Waveform
# Segments	1	SegmentSize	4002
# Segment	TrigTime	TimeSinceSegment1
# #1	30-Nov-2018 17:24:35	0                 
# Time	Ampl
-5.001516e-008	0.0169678
-4.999016e-008	0.0107422
-4.996516e-008	0.0179688
-4.994016e-008	0.0325195
-4.991516e-008	0.0233887
-4.989016e-008	0.0135742
-4.986516e-008	0.0120361
-4.984016e-008	0.0069336
-4.981516e-008	0.00754395
-4.979016e-008	0.0156738
-4.976516e-008	0.0306397
-4.974016e-008	0.0319092
-4.971516e-008	0.0217529
-4.969016e-008	0.0226563
-4.966516e-008	0.0248779
-4.964016e-008	0.0349609
-4.961516e-008	0.040625
-4.959016e-008	0.0275147
-4.956516e-008	0.0190918
-4.954016e-008	0.0229248
-4.951516e-008	0.0281006
-4.949016e-008	0.0261475
-4.946516e-008	0.0263672
-4.944016e-008	0.0166748
-4.941516e-008	0.00117188
-4.939016e-008	0.0122559
-4.936516e-008	0.0310791
-4.934016e-008	0.0333496
-4.931516e-008	0.0236816
-4.929016e-008	0.0227051
-4.926516e-008	0.0283203
-4.924016e-008	0.0239746
-4.921516e-008	0.0189941
-4.919016e-008	0.0151611
-4.916516e-008	0.0263916
-4.914016e-008	0.0351318
-4.911516e-008	0.0162354
-4.909016e-008	0.0141113
-4.906516e-008	0.0237793
-4.904016e-008	0.0168457
-4.901516e-008	0.0147949
-4.899016e-008	0.0241699
-4.896516e-008	0.0383057
-4.894016e-008	0.0343018
-4.891516e-008	0.0279297
-4.889016e-008	0.040625
-4.886516e-008	0.0315186
-4.884016e-008	0.0194092
-4.881516e-008	0.0146973
-4.879016e-008	0.008667
-4.876516e-008	0.033374
-4.874016e-008	0.0411621
-4.871516e-008	0.0295654
-4.869016e-008	0.0302002
-4.866516e-008	0.016333
-4.864016e-008	0.0134522
-4.861516e-008	0.0185059
-4.859016e-008	0.0182373
-4.856516e-008	0.0259277
-4.854016e-008	0.0221924
-4.851516e-008	0.0162109
-4.849016e-008	0.0175049
-4.846516e-008	0.0198731
-4.844016e-008	0.0223145
-4.841516e-008	0.0280518
-4.839016e-008	0.0354004
-4.836516e-008	0.0358643
-4.834016e-008	0.0371094
-4.831516e-008	0.0220947
-4.829016e-008	0.00673829
-4.826516e-008	0.0189941
-4.824016e-008	0.0192139
-4.821516e-008	0.0164307
-4.819016e-008	0.0227051
-4.816516e-008	0.023169
-4.814016e-008	0.0260742
-4.811516e-008	0.0229981
-4.809016e-008	0.0238525
-4.806516e-008	0.0218018
-4.804016e-008	0.0170166
-4.801516e-008	0.0222412
-4.799016e-008	0.0272461
-4.796516e-008	0.0416016
-4.794016e-008	0.0303223
-4.791516e-008	0.00261231
-4.789016e-008	0.0162598
-4.786516e-008	0.0326904
-4.784016e-008	0.0257568
-4.781516e-008	0.0181885
-4.779016e-008	0.00974122
-4.776516e-008	0.0148193
-4.774016e-008	0.0358399
-4.771516e-008	0.0276611
-4.769016e-008	0.0109619
-4.766516e-008	0.0192383
-4.764016e-008	0.0208984
-4.761516e-008	0.0302979
-4.759016e-008	0.0299316
-4.756516e-008	0.00524903
-4.754016e-008	0.0146729
-4.751516e-008	0.0292236
-4.749016e-008	0.0218506
-4.746516e-008	0.0263672
-4.744016e-008	0.0288086
-4.741516e-008	0.0213623
-4.739016e-008	0.0168213
-4.736516e-008	0.0214844
-4.734016e-008	0.0288086
-4.731516e-008	0.0133545
-4.729016e-008	0.00390626
-4.726516e-008	0.0198731
-4.724016e-008	0.0238525
-4.721516e-008	0.0209717
-4.719016e-008	0.0201416
-4.716516e-008	0.0246582
-4.714016e-008	0.0287842
-4.711516e-008	0.00969239
-4.709016e-008	-0.00273437
-4.706516e-008	0.0091797
-4.704016e-008	0.0218506
-4.701516e-008	0.0205566
-4.699016e-008	0.0196289
-4.696516e-008	0.0334717
-4.694016e-008	0.0314697
-4.691516e-008	0.0119629
-4.689016e-008	0.0159912
-4.686516e-008	0.0292481
-4.684016e-008	0.0234375
-4.681516e-008	0.020752
-4.679016e-008	0.0231201
-4.676516e-008	0.0229248
-4.674016e-008	0.0277344
-4.671516e-008	0.026416
-4.669016e-008	0.0198242
-4.666516e-008	0.0147461
-4.664016e-008	0.0206787
-4.661516e-008	0.035376
-4.659016e-008	0.0375733
-4.656516e-008	0.0270508
-4.654016e-008	0.0226807
-4.651516e-008	0.0339356
-4.649016e-008	0.0313721
-4.646516e-008	0.0150879
-4.644016e-008	0.0177979
-4.641516e-008	0.0277344
-4.639016e-008	0.0258301
-4.636516e-008	0.0196777
-4.634016e-008	0.0282959
-4.631516e-008	0.0310303
-4.629016e-008	0.0179688
-4.626516e-008	0.0280762
-4.624016e-008	0.0317627
-4.621516e-008	0.0153076
-4.619016e-008	0.0182129
-4.616516e-008	0.0169434
-4.614016e-008	0.0223877
-4.611516e-008	0.0406738
-4.609016e-008	0.0326904
-4.606516e-008	0.0251953
-4.604016e-008	0.0186524
-4.601516e-008	0.0161865
-4.599016e-008	0.029541
-4.596516e-008	0.0121094
-4.594016e-008	0.00019532
-4.591516e-008	0.02146
-4.589016e-008	0.0260254
-4.586516e-008	0.0226074
-4.584016e-008	0.0211426
-4.581516e-008	0.0158936
-4.579016e-008	0.0160645
-4.576516e-008	0.0226807
-4.574016e-008	0.0293945
-4.571516e-008	0.0195313
-4.569016e-008	0.0125244
-4.566516e-008	0.0179932
-4.564016e-008	0.0161133
-4.561516e-008	0.0249512
-4.559016e-008	0.0304443
-4.556516e-008	0.0211426
-4.554016e-008	0.0258545
-4.551516e-008	0.0254883
-4.549016e-008	0.0173096
-4.546516e-008	0.0205078
-4.544016e-008	0.020166
-4.541516e-008	0.0312256
-4.539016e-008	0.0420899
-4.536516e-008	0.0265137
-4.534016e-008	0.034375
-4.531516e-008	0.039502
-4.529016e-008	0.0114258
-4.526516e-008	0.0208008
-4.524016e-008	0.0279541
-4.521516e-008	0.00712891
-4.519016e-008	0.0181641
-4.516516e-008	0.0249268
-4.514016e-008	0.0102051
-4.511516e-008	0.0141357
-4.509016e-008	0.0285889
-4.506516e-008	0.0217041
-4.504016e-008	0.010669
-4.501516e-008	0.0202637
-4.499016e-008	0.0224365
-4.496516e-008	0.0284912
-4.494016e-008	0.0371094
-4.491516e-008	0.0175537
-4.489016e-008	0.0149902
-4.486516e-008	0.0205566
-4.484016e-008	0.00949708
-4.481516e-008	0.0258057
-4.479016e-008	0.035083
-4.476516e-008	0.02854
-4.474016e-008	0.0343506
-4.471516e-008	0.013916
-4.469016e-008	0.00534669
-4.466516e-008	0.0263672
-4.464016e-008	0.0270996
-4.461516e-008	0.0299316
-4.459016e-008	0.0290772
-4.456516e-008	0.0185303
-4.454016e-008	0.0257813
-4.451516e-008	0.0214111
-4.449016e-008	0.0106445
-4.446516e-008	0.0168213
-4.444016e-008	0.013794
-4.441516e-008	0.00886231
-4.439016e-008	0.0205566
-4.436516e-008	0.0290283
-4.434016e-008	0.0210449
-4.431516e-008	0.0117432
-4.429016e-008	0.0179688
-4.426516e-008	0.0314209
-4.424016e-008	0.0354492
-4.421516e-008	0.0252441
-4.419016e-008	0.0186279
-4.416516e-008	0.0305176
