LECROYWM813Zi	51496	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	30-Nov-2018 17:24:54	0                 
Time	Ampl
-5.000664e-008	0.0136719
-4.998164e-008	0.0168457
-4.995664e-008	0.0192871
-4.993164e-008	0.0257813
-4.990664e-008	0.0228272
-4.988164e-008	0.0242188
-4.985664e-008	0.0249268
-4.983164e-008	0.0111084
-4.980664e-008	0.0224365
-4.978164e-008	0.0278565
-4.975664e-008	0.0152588
-4.973164e-008	0.0215088
-4.970664e-008	0.0177734
-4.968164e-008	0.0158447
-4.965664e-008	0.0207764
-4.963164e-008	0.0153809
-4.960664e-008	0.0237793
-4.958164e-008	0.0282959
-4.955664e-008	0.0303955
-4.953164e-008	0.0318115
-4.950664e-008	0.016919
-4.948164e-008	0.0203613
-4.945664e-008	0.0255615
-4.943164e-008	0.00791016
-4.940664e-008	0.013794
-4.938164e-008	0.0353516
-4.935664e-008	0.0336914
-4.933164e-008	0.0273438
-4.930664e-008	0.0201904
-4.928164e-008	0.0126709
-4.925664e-008	0.0170654
-4.923164e-008	0.0192383
-4.920664e-008	0.0182617
-4.918164e-008	0.0127686
-4.915664e-008	0.0134522
-4.913164e-008	0.0236084
-4.910664e-008	0.0195313
-4.908164e-008	0.017334
-4.905664e-008	0.0190186
-4.903164e-008	0.0161621
-4.900664e-008	0.028125
-4.898164e-008	0.0248535
-4.895664e-008	-0.000830071
-4.893164e-008	0.00656739
-4.890664e-008	0.0211426
-4.888164e-008	0.0126465
-4.885664e-008	0.0177979
-4.883164e-008	0.0211182
-4.880664e-008	0.0181152
-4.878164e-008	0.0287598
-4.875664e-008	0.0367676
-4.873164e-008	0.0247559
-4.870664e-008	0.00463868
-4.868164e-008	0.0145264
-4.865664e-008	0.026709
-4.863164e-008	0.0193115
-4.860664e-008	0.0177246
-4.858164e-008	0.000805672
-4.855664e-008	-0.00478515
-4.853164e-008	0.0263428
-4.850664e-008	0.0322998
-4.848164e-008	0.00986329
-4.845664e-008	0.0159912
-4.843164e-008	0.038916
-4.840664e-008	0.0345459
-4.838164e-008	0.0134277
-4.835664e-008	0.00783692
-4.833164e-008	0.0150147
-4.830664e-008	0.0161621
-4.828164e-008	0.0204834
-4.825664e-008	0.0287598
-4.823164e-008	0.0267822
-4.820664e-008	0.0232422
-4.818164e-008	0.0189697
-4.815664e-008	0.0205811
-4.813164e-008	0.0325195
-4.810664e-008	0.0270508
-4.808164e-008	0.0124268
-4.805664e-008	0.0145264
-4.803164e-008	0.0184815
-4.800664e-008	0.0177734
-4.798164e-008	0.0122803
-4.795664e-008	0.00678712
-4.793164e-008	0.0151856
-4.790664e-008	0.0192627
-4.788164e-008	0.023169
-4.785664e-008	0.0283447
-4.783164e-008	0.0113037
-4.780664e-008	0.00891114
-4.778164e-008	0.0251953
-4.775664e-008	0.0204102
-4.773164e-008	0.0170166
-4.770664e-008	0.0259033
-4.768164e-008	0.019458
-4.765664e-008	0.0180664
-4.763164e-008	0.0390381
-4.760664e-008	0.028418
-4.758164e-008	-0.00102538
-4.755664e-008	0.015918
-4.753164e-008	0.0384766
-4.750664e-008	0.0279541
-4.748164e-008	0.0203369
-4.745664e-008	0.0290039
-4.743164e-008	0.0331543
-4.740664e-008	0.0242432
-4.738164e-008	0.0136231
-4.735664e-008	0.0189697
-4.733164e-008	0.0278076
-4.730664e-008	0.0120606
-4.728164e-008	0.00766602
-4.725664e-008	0.0229248
-4.723164e-008	0.0183106
-4.720664e-008	0.0160156
-4.718164e-008	0.0234619
-4.715664e-008	0.0272217
-4.713164e-008	0.0259277
-4.710664e-008	0.0132324
-4.708164e-008	0.0129883
-4.705664e-008	0.0218506
-4.703164e-008	0.0230225
-4.700664e-008	0.0239502
-4.698164e-008	0.0156982
-4.695664e-008	0.014502
-4.693164e-008	0.0202637
-4.690664e-008	0.0113037
-4.688164e-008	0.0213867
-4.685664e-008	0.0411133
-4.683164e-008	0.0243164
-4.680664e-008	0.00627442
-4.678164e-008	0.0154053
-4.675664e-008	0.0240234
-4.673164e-008	0.0198486
-4.670664e-008	0.0121582
-4.668164e-008	0.0149658
-4.665664e-008	0.0220947
-4.663164e-008	0.0244629
-4.660664e-008	0.0185547
-4.658164e-008	0.00671387
-4.655664e-008	0.0198975
-4.653164e-008	0.0409424
-4.650664e-008	0.0335693
-4.648164e-008	0.0208008
-4.645664e-008	0.0266846
-4.643164e-008	0.0344238
-4.640664e-008	0.024585
-4.638164e-008	0.015625
-4.635664e-008	0.0211182
-4.633164e-008	0.025293
-4.630664e-008	0.0121094
-4.628164e-008	0.00698243
-4.625664e-008	0.0246826
-4.623164e-008	0.0276611
-4.620664e-008	0.0255371
-4.618164e-008	0.0290772
-4.615664e-008	0.0298584
-4.613164e-008	0.0296143
-4.610664e-008	0.0171875
-4.608164e-008	0.0160889
-4.605664e-008	0.0231201
-4.603164e-008	0.0212891
-4.600664e-008	0.0145508
-4.598164e-008	0.0091797
-4.595664e-008	0.0238281
-4.593164e-008	0.0280274
-4.590664e-008	0.0138428
-4.588164e-008	0.0144775
-4.585664e-008	0.0248535
-4.583164e-008	0.02146
-4.580664e-008	0.0148193
-4.578164e-008	0.0288574
-4.575664e-008	0.0342285
-4.573164e-008	0.0293945
