# LECROYWM813Zi	51496	Waveform
# Segments	1	SegmentSize	4002
# Segment	TrigTime	TimeSinceSegment1
# #1	30-Nov-2018 17:26:16	0                 
# Time	Ampl
-5.00209e-008	-0.00136718
-4.99959e-008	-0.00256347
-4.99709e-008	0.00211182
-4.99459e-008	0.00343018
-4.99209e-008	0.00104981
-4.98959e-008	0.00456543
-4.98709e-008	-0.00581054
-4.98459e-008	-0.00997314
-4.98209e-008	0.00775147
-4.97959e-008	0.00900879
-4.97709e-008	-0.00410156
-4.97459e-008	-0.00610351
-4.97209e-008	-0.00395507
-4.96959e-008	-0.00546875
-4.96709e-008	-0.00571289
-4.96459e-008	-0.000256344
-4.96209e-008	0.00212403
-4.95959e-008	-0.000146481
-4.95709e-008	0.00235596
-4.95459e-008	0.00296631
-4.95209e-008	0.00437012
-4.94959e-008	0.00507813
-4.94709e-008	-0.000158688
-4.94459e-008	0.00189209
-4.94209e-008	0.0019043
-4.93959e-008	-0.00134277
-4.93709e-008	0.00239258
-4.93459e-008	-0.000524899
-4.93209e-008	-0.003125
-4.92959e-008	0.0046753
-4.92709e-008	0.00736084
-4.92459e-008	0.00310059
-4.92209e-008	-0.000793453
-4.91959e-008	-0.000219723
-4.91709e-008	0.00133057
-4.91459e-008	-0.000756832
-4.91209e-008	0.00174561
-4.90959e-008	-0.000292965
-4.90709e-008	-0.00885009
-4.90459e-008	-0.00635986
-4.90209e-008	-0.00135498
-4.89959e-008	-0.00230713
-4.89709e-008	-0.00150146
-4.89459e-008	-0.00162353
-4.89209e-008	-0.00134277
-4.88959e-008	0.00280762
-4.88709e-008	0.000915531
-4.88459e-008	0.000524906
-4.88209e-008	0.00540772
-4.87959e-008	0.0017212
-4.87709e-008	-0.000244137
-4.87459e-008	0.00183106
-4.87209e-008	-0.00135498
-4.86959e-008	-0.000671383
-4.86709e-008	-0.000317379
-4.86459e-008	-0.000183102
-4.86209e-008	0.00706787
-4.85959e-008	0.00638428
-4.85709e-008	0.00111084
-4.85459e-008	0.000329594
-4.85209e-008	-0.00198974
-4.84959e-008	-0.000817867
-4.84709e-008	-0.000134274
-4.84459e-008	0.00272217
-4.84209e-008	0.00854493
-4.83959e-008	0.000622562
-4.83709e-008	-0.00611572
-4.83459e-008	-0.00446777
-4.83209e-008	-0.0048706
-4.82959e-008	0.000842289
-4.82709e-008	0.000537113
-4.82459e-008	-0.0074707
-4.82209e-008	-0.00443115
-4.81959e-008	-0.00144043
-4.81709e-008	-0.00162353
-4.81459e-008	0.00192871
-4.81209e-008	0.00169678
-4.80959e-008	-0.000488278
-4.80709e-008	-0.00151367
-4.80459e-008	0.000512699
-4.80209e-008	0.00278321
-4.79959e-008	0.00264893
-4.79709e-008	0.00166016
-4.79459e-008	-0.00404052
-4.79209e-008	-0.00440673
-4.78959e-008	0.00109864
-4.78709e-008	0.00231934
