# LECROYWM813Zi	51496	Waveform
# Segments	1	SegmentSize	4002
# Segment	TrigTime	TimeSinceSegment1
# #1	30-Nov-2018 17:05:00	0                 
# Time	Ampl
-5.00207e-008	0.0158936
-4.99957e-008	0.012085
-4.99707e-008	0.025
-4.99457e-008	0.0375
-4.99207e-008	0.0300049
-4.98957e-008	0.0344727
-4.98707e-008	0.0270996
-4.98457e-008	0.0171875
-4.98207e-008	0.0348877
-4.97957e-008	0.0347656
-4.97707e-008	0.0175781
-4.97457e-008	0.0240967
-4.97207e-008	0.0430664
-4.96957e-008	0.034668
-4.96707e-008	0.0132568
-4.96457e-008	0.0286377
-4.96207e-008	0.0426758
-4.95957e-008	0.0266358
-4.95707e-008	0.019458
-4.95457e-008	0.0182861
-4.95207e-008	0.0230225
-4.94957e-008	0.0318604
-4.94707e-008	0.0270996
-4.94457e-008	0.0228027
-4.94207e-008	0.029126
-4.93957e-008	0.0393311
-4.93707e-008	0.0343018
-4.93457e-008	0.0221924
-4.93207e-008	0.0268311
-4.92957e-008	0.0333252
-4.92707e-008	0.0265381
-4.92457e-008	0.0182129
-4.92207e-008	0.0212647
-4.91957e-008	0.0226807
-4.91707e-008	0.0247559
-4.91457e-008	0.0391358
-4.91207e-008	0.0380371
-4.90957e-008	0.0214111
-4.90707e-008	0.0164063
-4.90457e-008	0.0158447
-4.90207e-008	0.0196777
-4.89957e-008	0.0335693
-4.89707e-008	0.0354004
-4.89457e-008	0.0277588
-4.89207e-008	0.0330322
-4.88957e-008	0.0328125
-4.88707e-008	0.0209961
-4.88457e-008	0.0227295
-4.88207e-008	0.0290527
-4.87957e-008	0.0280518
-4.87707e-008	0.028125
-4.87457e-008	0.0246094
-4.87207e-008	0.0260742
-4.86957e-008	0.0304199
-4.86707e-008	0.0243897
-4.86457e-008	0.0260498
-4.86207e-008	0.0339111
-4.85957e-008	0.0333496
-4.85707e-008	0.0292725
-4.85457e-008	0.0298828
-4.85207e-008	0.0385498
-4.84957e-008	0.0355957
-4.84707e-008	0.0187012
-4.84457e-008	0.0228272
-4.84207e-008	0.0338135
-4.83957e-008	0.0267822
-4.83707e-008	0.03479
-4.83457e-008	0.0383301
-4.83207e-008	0.0171875
-4.82957e-008	0.0191895
-4.82707e-008	0.0291016
-4.82457e-008	0.0275391
-4.82207e-008	0.0263672
-4.81957e-008	0.0146484
-4.81707e-008	0.0170654
-4.81457e-008	0.0328613
-4.81207e-008	0.0350586
-4.80957e-008	0.0358154
-4.80707e-008	0.0272705
-4.80457e-008	0.0157959
-4.80207e-008	0.0223389
-4.79957e-008	0.0270508
-4.79707e-008	0.0244141
-4.79457e-008	0.0192139
-4.79207e-008	0.0240234
-4.78957e-008	0.0386475
-4.78707e-008	0.0303467
-4.78457e-008	0.02771
-4.78207e-008	0.0413574
-4.77957e-008	0.0330322
-4.77707e-008	0.0196533
-4.77457e-008	0.013501
-4.77207e-008	0.0238281
-4.76957e-008	0.0363525
